Source,Target,Type,Id,Label,Weight
AC,AM,Undirected,1,,20.766363
AC,RO,Undirected,19,,8.18897
RO,MT,Undirected,36,,20.76016
AM,PA,Undirected,64,,23.309114
AM,RR,Undirected,73,,11.945179
MT,DF,Undirected,84,,16.422747
MT,GO,Undirected,86,,13.858152
MT,MS,Undirected,88,,10.15397
MT,PA,Undirected,90,,32.116562
MS,GO,Undirected,138,,13.139187
MS,PR,Undirected,144,,14.62079
MS,SP,Undirected,154,,17.129622
TO,BA,Undirected,160,,20.382748
TO,DF,Undirected,162,,11.12777
TO,MA,Undirected,165,,17.406008
TO,PA,Undirected,169,,17.573164
TO,PI,Undirected,173,,15.138567
AP,PA,Undirected,194,,5.953319
GO,BA,Undirected,212,,22.739693
GO,DF,Undirected,214,,3.261533
DF,MG,Undirected,245,,11.409863
PA,MA,Undirected,269,,8.714166
PR,SC,Undirected,308,,4.526282
PR,SP,Undirected,310,,6.467069
MA,PI,Undirected,328,,5.817849
SP,MG,Undirected,350,,9.087835
SP,RJ,Undirected,356,,6.947797
PI,BA,Undirected,368,,17.984327
PI,CE,Undirected,369,,8.928601
MG,BA,Undirected,394,,17.635567
MG,ES,Undirected,397,,7.295575
MG,RJ,Undirected,407,,6.156601
RS,SC,Undirected,438,,7.160802
RJ,ES,Undirected,475,,7.839833
BA,SE,Undirected,543,,4.977188
CE,RN,Undirected,564,,7.827398
SE,AL,Undirected,573,,3.710954
AL,PE,Undirected,613,,3.582442
RN,PB,Undirected,638,,2.707628
PE,PB,Undirected,664,,1.877936
DF,BA,Undirected,940,,19.591888
